iter	Passed	Remaining
0	207	103716
1	229	57065
2	349	57882
3	485	60188
4	552	54735
5	700	57655
6	876	61733
7	1037	63775
8	1204	65699
9	1381	67677
10	1556	69175
11	1708	69471
12	1879	70408
13	2050	71177
14	2216	71664
15	2417	73117
16	2583	73414
17	2769	74160
18	2944	74550
19	3119	74859
20	3311	75540
21	3512	76310
22	3678	76294
23	3848	76335
24	4024	76457
25	4229	77112
26	4410	77258
27	4573	77090
28	4756	77255
29	4957	77663
30	5150	77928
31	5353	78289
32	5543	78455
33	5717	78358
34	5879	78110
35	6040	77855
36	6228	77941
37	6404	77866
38	6566	77624
39	6728	77372
40	6904	77301
41	7080	77206
42	7246	77017
43	7430	77010
44	7587	76716
45	7765	76646
46	7947	76597
47	8105	76331
48	8290	76305
49	8483	76354
50	8659	76235
51	8830	76075
52	8999	75901
53	9177	75799
54	9354	75686
55	9519	75477
56	9691	75317
57	9871	75225
58	10055	75157
59	10231	75031
60	10400	74851
61	10558	74589
62	10744	74532
63	10915	74360
64	11081	74161
65	11288	74227
66	11471	74133
67	11641	73956
68	11789	73643
69	11958	73457
70	12168	73524
71	12320	73237
72	12515	73208
73	12678	72985
74	12862	72887
75	13049	72801
76	13226	72658
77	13410	72556
78	13597	72463
79	13749	72185
80	13932	72070
81	14093	71842
82	14274	71716
83	14453	71579
84	14618	71373
85	14795	71224
86	14956	70998
87	15120	70792
88	15299	70651
89	15449	70382
90	15607	70149
91	15785	70005
92	15946	69785
93	16128	69660
94	16325	69599
95	16506	69466
96	16674	69278
97	16846	69106
98	17022	68948
99	17205	68820
100	17379	68656
101	17545	68459
102	17697	68210
103	17860	68008
104	18045	67886
105	18215	67708
106	18399	67579
107	18556	67353
108	18725	67172
109	18900	67011
110	19063	66807
111	19233	66629
112	19415	66493
113	19579	66296
114	19752	66127
115	19925	65961
116	20091	65769
117	20265	65606
118	20431	65416
119	20615	65283
120	20782	65095
121	20939	64879
122	21121	64736
123	21316	64637
124	21497	64491
125	21673	64333
126	21855	64189
127	22016	63985
128	22200	63849
129	22394	63738
130	22554	63530
131	22675	63215
132	22831	63000
133	22987	62785
134	23194	62710
135	23362	62528
136	23535	62361
137	23692	62148
138	23873	62001
139	24074	61905
140	24271	61798
141	24458	61663
142	24644	61525
143	24813	61343
144	24987	61176
145	25156	60996
146	25333	60835
147	25491	60629
148	25661	60451
149	25851	60320
150	26014	60125
151	26206	59998
152	26378	59825
153	26542	59635
154	26715	59464
155	26886	59287
156	27052	59101
157	27240	58962
158	27404	58773
159	27564	58574
